id,text,category,priority
357,Request dog shelter near Tilak Nagar for stray animals Please resolve urgently.,Sanitation,Low
358,Suggest LED replacement for old lights at Sukhliya Kindly look into this matter.,Electricity,Low
359,Main pipeline burst water flooding Shivaji Nagar road completely This has been ignored for long.,Water Issues,High
360,No potable water available entire Scheme 54 ward for 5 days,Water Issues,High
361,Suggest cycle track along Agrawal Nagar main road Residents are suffering.,Roads & Potholes,Low
362,Transformer blast fire sparks at Rajiv Gandhi Square urgent needed This has been ignored for long.,Electricity,High
363,Public toilet dirty unhygienic condition at MG Road This has been ignored for long.,Sanitation,Medium
364,Meter reading not done for 4 months in Polo Ground Please resolve urgently.,Electricity,Medium
365,Water logging on road after rain at Dewas Naka for hours,Roads & Potholes,Medium
366,Request tree planting drive in Tilak Nagar colony Please resolve urgently.,Sanitation,Low
367,Request additional street light at Scheme 78 dark corner This has been ignored for long.,Electricity,Low
368,Request traffic mirror at blind corner near Race Course Road,Roads & Potholes,Low
369,Pipeline leaking minor dripping near Musakhedi chowk Kindly look into this matter.,Water Issues,Medium
370,Contaminated dirty yellow water supply in Nipania area This is causing great inconvenience.,Water Issues,High
371,Suggest smart meters installation in Gandhi Nagar ward Please resolve urgently.,Electricity,Low
372,Pothole near MG Road school children at risk daily Kindly look into this matter.,Roads & Potholes,Medium
373,Power fluctuation damaging appliances in Gandhi Nagar homes,Electricity,Medium
374,Traffic signal light not working properly at Rajendra Nagar Please resolve urgently.,Roads & Potholes,Medium
375,Pipeline leaking minor dripping near Rajendra Nagar chowk,Water Issues,Medium
376,Garbage vehicle not coming on schedule to Dewas Naka Kindly look into this matter.,Sanitation,Medium
377,Water meter not working billing issue at Regal Square colony This is causing great inconvenience.,Water Issues,Medium
378,Water supply timing irregular in Palasia ward This is causing great inconvenience.,Water Issues,Medium
379,Road completely washed out flooded impassable at Residency Area,Roads & Potholes,High
380,Live electric wire fallen on road at Sanyogitaganj danger to life,Electricity,High
381,Flyover crack damage urgent repair needed at Lasudia Please resolve urgently.,Roads & Potholes,High
382,Water pressure very low only trickle coming in Bijalpur Please resolve urgently.,Water Issues,Medium
383,CCTV cameras not working due to power issue at Vijay Nagar Please resolve urgently.,Electricity,Medium
384,Request rainwater harvesting system for Bengali Square colony Residents are suffering.,Water Issues,Low
385,Garbage not collected since 4 days in Shivaji Nagar colony,Sanitation,Medium
386,Open drain overflowing sewage water entering homes at Airport Road,Sanitation,High
387,Public toilet dirty unhygienic condition at Bypass Road Please resolve urgently.,Sanitation,Medium
388,Pothole near Bombay Hospital Road school children at risk daily Please take immediate action.,Roads & Potholes,Medium
389,Speed breaker broken uneven causing discomfort at Rajendra Nagar Please take immediate action.,Roads & Potholes,Medium
390,Drainage completely blocked sewage backup flooding South Tukoganj This is causing great inconvenience.,Sanitation,High
391,Traffic signal light not working properly at Polo Ground Residents are suffering.,Roads & Potholes,Medium
392,Street lights dim not bright enough at Sukhliya road,Street Lights,Medium
393,Road shoulder eroded narrow dangerous at Nipania highway This is causing great inconvenience.,Roads & Potholes,Medium
394,Suggest water audit for Old Palasia ward reduce wastage Please take immediate action.,Water Issues,Low
395,Garbage dump fire toxic smoke affecting Dewas Naka residents Please resolve urgently.,Sanitation,High
396,Flickering street light disturbing residents at Palasia This has been ignored for long.,Street Lights,Medium
397,Multiple potholes on Nipania road causing vehicle damage Please resolve urgently.,Roads & Potholes,Medium
398,Request speed breaker installation near Residency Area school Please resolve urgently.,Roads & Potholes,Low
399,Suggest underground cabling for Scheme 54 to avoid poles This has been ignored for long.,Electricity,Low
400,Broken light pole fallen on road blocking traffic at Bengali Square Please resolve urgently.,Street Lights,High
401,Potholes on Sukhliya road causing tyre punctures daily,Roads & Potholes,Medium
402,Suggest road beautification drive for Nanda Nagar main road Residents are suffering.,Roads & Potholes,Low
403,Suggest water conservation awareness in Ring Road ward Kindly look into this matter.,Water Issues,Low
404,Flickering street light disturbing residents at Scheme 54 This is causing great inconvenience.,Street Lights,Medium
405,Garbage not collected since 2 days in Bangali Chowk colony Please resolve urgently.,Sanitation,Medium
406,Frequent power cuts 1 times daily affecting Sanyogitaganj Residents are suffering.,Electricity,Medium
407,New street light requested for dark lane at Malharganj,Street Lights,Medium
408,Old pipeline replacement request for Bengali Square lane Kindly look into this matter.,Water Issues,Low
409,Open manhole cover missing accident risk at Kanadiya Road road Please take immediate action.,Roads & Potholes,High
410,Flickering street light disturbing residents at Rajiv Gandhi Square This has been ignored for long.,Street Lights,Medium
411,Electric meter running fast overcharging Race Course Road residents Please take immediate action.,Electricity,Medium
412,Suggest smart meters installation in Treasure Island Area ward,Electricity,Low
413,Old pipeline replacement request for Nipania lane,Water Issues,Low
414,Request street light on newly built road at Chandan Nagar,Street Lights,Low
415,New street light requested for dark lane at Rajiv Gandhi Square,Street Lights,Medium
416,Construction debris dumped illegally at Tilak Nagar road,Sanitation,Medium
417,Street light not working since 5 days at Agrawal Nagar Residents are suffering.,Street Lights,Medium
418,Overhead wire hanging low touching vehicles at Bangali Chowk,Electricity,High
419,Suggest awareness campaign for LIG Colony cleanliness This has been ignored for long.,Sanitation,Low
420,Drainage completely blocked sewage backup flooding Residency Area,Sanitation,High
421,Water pressure very low only trickle coming in Sanyogitaganj,Water Issues,Medium
422,Live electric wire fallen on road at Scheme 78 danger to life,Electricity,High
423,Broken water main causing massive flooding near Scheme 54 This has been ignored for long.,Water Issues,High
424,Garbage vehicle not coming on schedule to Scheme 54,Sanitation,Medium
425,Request light timer adjustment for LIG Colony street lights Kindly look into this matter.,Street Lights,Low
426,High tension wire snapped fallen on road Ring Road emergency This has been ignored for long.,Electricity,High
427,Broken light pole fallen on road blocking traffic at Scheme 78,Street Lights,High
428,Rats infestation in Vijay Nagar colony garbage issue,Sanitation,Medium
429,Garbage piling up for 7 days no collection LIG Colony Kindly look into this matter.,Sanitation,Medium
430,Entire Scheme 78 colony dark for 1 nights crime risk high Kindly look into this matter.,Street Lights,High
431,Street light timer wrong on at daytime at Rajendra Nagar,Street Lights,Medium
432,Raw sewage flowing on street children playing Scheme 140,Sanitation,High
433,Underground pipeline leaking water gushing out at Bangali Chowk,Water Issues,High
434,Suggest cycle track along Musakhedi main road This is causing great inconvenience.,Roads & Potholes,Low
435,Suggest dustbin at Ring Road park entrance gate Kindly look into this matter.,Sanitation,Low
436,Raw sewage flowing on street children playing Khajrana This is causing great inconvenience.,Sanitation,High
437,Electric pole fallen blocking entire road at Bypass Road,Electricity,High
438,Electric short circuit fire sparks from box at Juni Indore Please take immediate action.,Electricity,High
439,Request additional street light at Vijay Nagar dark corner,Electricity,Low
440,3 street lights broken on main road Bypass Road,Street Lights,Medium
441,Toxic waste dumped illegally near Regal Square water body,Sanitation,High
442,Request street light on newly built road at Treasure Island Area This is causing great inconvenience.,Street Lights,Low
443,Raw sewage flowing on street children playing MG Road This has been ignored for long.,Sanitation,High
444,Request road name sign board at Agrawal Nagar crossing Please take immediate action.,Roads & Potholes,Low
445,Street light on during day wasting electricity at Sanyogitaganj Please resolve urgently.,Electricity,Medium
446,Road marking lines faded invisible at Rau junction,Roads & Potholes,Medium
447,Electric meter running fast overcharging Rajendra Nagar residents,Electricity,Medium
448,Water tanker not coming since 2 days Polo Ground residents suffering Please resolve urgently.,Water Issues,High
449,Flickering street light disturbing residents at Annapurna Road,Street Lights,Medium
450,Suggest LED replacement for old lights at Sukhliya Please resolve urgently.,Electricity,Low
451,Road divider collapsed blocking lanes at Musakhedi highway,Roads & Potholes,High
452,All street lights not working Regal Square area completely dark Residents are suffering.,Street Lights,High
453,Suggest water audit for Sector 12 ward reduce wastage Kindly look into this matter.,Water Issues,Low
454,Suggest underground cabling for Scheme 78 to avoid poles Kindly look into this matter.,Electricity,Low
455,Stray dogs menace near Tilak Nagar garbage dump biting people This is causing great inconvenience.,Sanitation,Medium
